Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
26309,0.7579,-0.7657,-1.0903,-0.1794,-0.177,-1.0119,-0.3261,-0.4785,-2.59,0.5027,-0.8114,1.3044,-1.1501,-1.5796,1.1876,-1.5851,-0.6362,0.5973,-0.3296,-1.6555,0.188,-0.1943,1.2839,0.5886,3.0357,-1.6459,-0.0217,-1.0667,50.12,0
166133,-0.1315,-0.4411,0.4232,0.7299,0.871,0.1602,0.8842,0.3254,-0.6784,0.3157,-1.2881,0.7943,0.264,0.5615,-0.7586,-0.6235,-0.4786,-1.0714,-0.6299,-0.3628,-0.7184,-0.8454,-1.0684,-1.8552,-0.8041,0.1784,-0.3751,-0.1131,472.67,0
154028,-0.7774,2.4367,-0.4047,-1.0281,-1.2354,3.6366,0.2871,-0.3783,-0.693,0.6396,-0.4406,1.4863,1.8648,0.2587,-0.1012,0.0776,1.1484,-1.3015,2.1675,-0.3628,-0.0574,-1.8906,1.4174,-0.9904,0.2242,1.7855,0.1257,0.6372,126.06,0
172800,-0.2283,-0.492,1.1514,0.8056,1.7092,0.4322,0.9319,0.1983,1.4867,1.6116,-0.4804,0.9183,0.5347,1.6741,0.6811,-0.6687,-0.7977,-0.009,1.1332,1.9036,2.4572,-0.8988,-0.5657,1.9408,0.3757,-1.0594,1.4911,0.7633,113.58,0
104179,1.7689,-0.369,-1.176,1.3209,1.2355,0.1083,-1.4349,0.419,-0.6214,-1.1708,1.0434,-2.1326,0.5672,0.4594,2.051,0.3252,-2.0584,-0.8361,0.0647,0.3556,0.9808,-1.9597,-0.3299,0.9699,1.544,1.861,-0.3902,1.0976,49.5,0
140914,0.7237,0.8278,-0.7899,-1.4472,0.9828,-0.3471,-0.0281,-0.5787,-0.3929,0.2327,-1.0219,0.0685,0.2461,-0.0774,-0.7436,0.7866,1.8726,-0.6012,1.2345,0.8893,-2.6533,-0.7612,-0.6358,0.7818,0.1885,0.4744,0.6363,-0.8989,331.72,0
168218,-1.7035,-2.0459,0.8557,0.2815,1.7543,-0.1234,0.5227,1.8079,-1.2524,-0.4439,0.2811,-0.672,0.2689,-1.7424,-0.6637,-0.4571,2.9463,-0.2967,-1.7332,-0.4475,1.5467,1.2784,0.6369,0.6938,0.3188,-1.2946,0.7815,0.0777,64.25,0
110352,-1.6326,-0.27,-1.7157,0.258,-0.4789,-0.0399,-2.4109,-0.0582,1.6841,0.4706,0.8142,-0.9006,-2.4897,0.672,1.0595,0.4259,-1.2406,0.8822,-2.1889,0.134,0.3675,0.1829,-0.2865,-0.2319,-0.2217,1.3986,-0.8463,-0.2653,497.32,0
139082,-0.3304,1.1399,-1.6071,0.7538,1.0975,0.9604,0.9103,-0.8799,0.7037,-0.7933,0.7884,-0.6683,0.4715,-0.8917,-0.1106,-0.8587,-0.2937,0.7087,1.4595,-0.438,-0.4317,0.0704,0.9141,0.5434,-0.0328,-0.9651,0.2406,0.2566,478.36,0
147241,-0.245,0.448,-0.8965,1.1771,0.0036,-2.0128,-0.4753,-2.5852,-0.7517,-0.5491,-0.6104,-0.3253,-0.3941,-0.5937,1.5025,1.2149,-1.1418,1.2539,-1.6214,-0.8146,1.5252,-2.2396,0.5748,-1.2535,-0.144,-0.1802,1.6972,-0.8106,134.46,0
47294,-0.247,1.6773,0.8192,-0.4401,0.2323,0.5052,-0.2088,-0.3172,-0.1515,-2.6673,1.0309,0.6703,-0.7833,0.7716,0.4749,0.7221,-1.0732,2.1266,-1.7055,-1.1783,0.9369,1.3895,0.3926,0.1269,-0.984,0.3675,-0.8088,-0.6445,108.57,0
134308,0.8004,0.6952,-0.3124,1.4737,-1.478,0.1244,0.9624,0.2823,-0.1008,-0.0726,-0.2187,0.6532,0.4999,0.5833,-0.0587,0.1099,-0.0117,-0.6215,-1.1383,1.0662,-1.8931,-0.0031,0.1338,-0.3629,0.1899,-0.2245,2.2384,0.2648,431.19,0
150931,-0.9192,0.4376,-0.5265,-0.6375,-2.153,1.4626,1.1449,2.1418,-1.4818,0.3795,-0.6925,0.8175,0.8417,0.6602,-0.3281,0.237,1.137,-1.2028,0.3088,1.7102,1.2563,0.6539,-0.6445,-0.1255,0.1526,-0.9174,1.3907,-0.3737,74.7,0
26949,0.4015,0.5275,-1.3521,-1.0138,-0.3493,-0.5176,0.167,-1.1554,0.0472,-1.6885,-2.1551,0.7167,-1.3053,-0.5599,-1.4174,-1.4089,-0.3989,-0.4101,0.9826,0.4495,-0.2611,0.7577,1.1166,0.4113,-0.4063,1.0186,1.7685,0.6605,39.29,0
23670,-0.8922,-0.7866,-1.2366,0.2951,0.5525,-2.0541,-1.7318,0.5659,-0.5095,-0.7185,-0.5652,0.0872,0.4326,0.1772,0.7392,-0.5433,-0.2635,-1.1555,0.3528,0.667,-0.9947,0.4101,-0.582,-0.0838,-0.5688,0.5844,-0.7636,0.4929,299.35,0
165383,-0.2221,-0.295,1.2484,0.8428,-0.3415,1.5672,-1.2055,-1.8119,0.6299,-0.6436,-0.4793,-0.2743,-1.5377,2.1215,-0.3173,-0.9457,-1.9501,-1.326,-0.3556,0.905,0.474,-1.7693,-0.9041,-1.6475,-0.1072,-1.5171,-1.4214,-0.2379,212.28,0
94851,0.8539,0.0982,0.8718,-0.2762,0.0662,-0.6496,0.5803,-0.0001,-0.4999,1.6893,-1.2444,-0.0602,-0.0872,-1.2197,-1.0747,-1.7397,-0.9945,-0.911,0.3575,0.5207,-0.4921,-1.3108,1.3085,-0.9177,0.9162,0.258,-0.502,-2.595,305.69,0
117683,0.0742,0.7357,1.7109,-0.3757,0.5408,-0.3727,-0.566,-1.1703,-1.5951,0.6246,0.2078,-1.1639,-0.5187,0.2909,0.4235,1.2949,0.2286,-0.2344,-0.9561,0.1172,1.4441,-0.6325,-0.5135,-0.0515,0.5109,0.2973,-1.1398,0.3758,415.69,0
24042,0.6688,-0.2341,-0.8841,0.2804,0.3262,0.0552,-0.7333,-0.0092,0.9688,-0.0333,2.2752,0.4072,0.77,-1.2274,0.1399,-0.5258,-0.4322,1.8315,-0.1817,-0.5156,-0.3009,-1.0488,0.4061,0.0134,-0.0706,1.8969,-1.5367,-0.4866,264.36,0
29146,0.1206,-0.7267,0.5321,0.5115,-0.8972,-1.0701,1.7574,0.7319,-1.2393,0.0013,-0.8838,-0.9646,-0.1629,-0.8136,0.9328,0.0092,-0.5816,-0.2767,-0.5985,-1.0603,-1.5857,1.9021,-1.6901,-0.4805,-0.2025,-0.0097,0.2088,-0.2132,194.05,0
97858,-0.0042,0.1809,0.2204,-0.8928,-0.1505,-1.3987,0.2196,-1.6153,-0.1492,0.2616,-1.7566,-0.5225,0.7881,1.549,-1.504,0.3399,-1.2359,-1.3453,1.5961,0.6682,-0.8042,0.219,0.6419,0.1813,2.2473,0.6058,-2.993,-0.2902,271.97,0
66404,1.4049,0.3291,-0.4478,1.9397,1.395,0.4321,-0.2605,1.7733,-0.9325,0.39,-2.3264,0.9256,-0.3413,0.5451,-0.3407,-0.8942,0.2306,-0.7532,0.9127,0.5215,-2.9562,1.3773,0.3529,0.7557,0.7126,0.5357,-0.3074,1.0423,359.11,0
43684,-0.3439,-0.8649,1.949,0.5313,-2.1311,2.8362,-0.4299,2.7644,0.374,-0.127,-0.6171,-0.7226,0.476,-1.4313,0.5308,-0.1623,-1.3603,-1.0908,0.3642,0.0809,0.1702,-0.9399,-0.9592,0.8689,-1.1907,-0.9248,0.9152,-0.3049,381.78,0
150450,0.6201,0.7279,-0.3182,0.7431,0.2221,-0.0563,0.4723,1.1115,0.4285,-0.2588,0.2438,-1.5413,0.3037,1.3419,-1.2518,-3.4084,0.1663,0.5139,0.5502,0.2762,-0.7837,-3.3447,0.9718,-2.4315,1.4794,-0.1251,-0.3178,-1.2231,145.89,0
78631,0.9381,-1.2682,1.279,-0.6283,0.3233,-1.1477,0.4844,0.4627,1.1364,1.3541,1.2535,0.2089,-1.2262,1.3238,-1.3041,-0.4387,0.7371,0.4436,1.5931,-0.0041,-1.6901,-0.2753,0.1741,-0.3506,1.4125,-0.2476,-1.4358,0.4668,172.91,0
144520,-0.4046,-0.4878,1.0408,-0.224,0.2859,-0.1796,0.4097,0.4054,0.451,0.7588,-0.2329,-0.8917,1.9781,-0.7702,0.4306,-0.6257,-0.8364,-0.9493,0.6,0.6012,-1.1557,-0.2468,1.1661,2.0788,0.8303,1.2086,-0.2501,-1.3401,421.42,0
147749,1.9302,0.5111,2.1256,1.1899,0.1033,-0.7773,0.3176,1.2637,-0.1828,-0.1676,0.9627,-0.8067,-0.5328,-0.6599,0.0584,1.8139,-0.9135,0.6117,-0.2207,-0.5435,-0.9641,0.5651,-0.299,0.4699,0.5654,-0.6706,0.9179,-0.0692,199.96,0
97134,-0.4717,-0.0445,0.0265,0.5106,-0.5237,0.1716,2.2905,0.7539,0.6841,-0.7842,2.0978,-0.5011,0.9048,-2.1471,-0.1171,-0.6382,1.7909,2.7965,-2.011,0.4255,-0.4344,0.0072,-0.866,0.6872,0.077,1.321,0.7752,0.2447,299.16,0
171510,-0.3838,-0.7251,0.4763,0.0245,0.5223,0.5845,-0.6757,0.7589,0.3111,0.0909,-0.8783,-0.3594,-0.2374,0.9593,-1.2025,0.3878,0.6368,-1.2437,-0.4022,-0.3372,0.7936,0.5517,1.2731,-0.1059,-0.3707,0.4173,-0.8103,-0.6081,21.09,0
10201,0.5865,0.6827,-1.0901,0.1815,-0.9454,-0.7454,-0.6484,1.216,1.5966,2.6055,-0.0566,-0.8414,-0.9695,1.6075,-1.5384,-0.317,-0.5661,1.75,-1.0133,1.1017,1.3134,-0.1668,0.4655,-1.5387,-0.0882,-0.215,-2.5796,0.4154,391.67,0
151643,-1.4123,-0.7493,-0.5292,-0.3064,-0.9581,-1.0079,0.3065,-0.4752,-0.1068,-0.2297,0.4572,-0.1543,0.8615,0.103,0.889,1.2471,-1.4605,0.922,1.7828,-0.9725,-0.0319,-0.3572,0.4408,0.52,-0.6693,1.3126,-0.8567,-0.1383,87.42,0
139756,-0.5127,0.7823,0.22,-1.5824,-0.9552,-1.2048,-0.5033,-0.4168,0.0279,1.2777,0.4225,2.6531,-0.2434,0.7893,0.4144,1.5066,-0.3787,0.8453,1.6291,-0.7208,-0.0749,0.5043,-0.4348,-0.8752,1.8327,-0.2297,1.7341,-0.5084,145.94,0
75400,0.3899,-0.1124,1.2975,-0.6713,-0.0116,-0.6939,0.3741,-0.7018,-0.7365,-0.3024,1.2714,1.0414,0.0217,0.3221,0.592,-0.4013,0.0495,0.4569,-0.5466,0.99,-0.2279,-0.4938,2.6931,-0.6105,0.7953,1.2181,0.8316,-0.7745,325.62,0
75299,-0.6231,1.2993,0.3625,-0.2367,-1.1059,-0.5559,-0.3949,-2.3158,0.5305,-0.3217,0.4592,-0.4192,2.9983,-1.6573,-0.9331,0.7052,2.3585,-0.9924,1.8292,-0.917,1.2934,0.0754,2.23,1.782,-0.6477,2.9357,-1.1242,-0.3136,469.34,0
132176,-0.6414,0.1306,0.4525,0.3872,-0.7457,0.1969,0.6374,1.504,0.3282,-1.253,0.0284,-0.6206,1.319,-1.6754,0.5597,-1.0654,1.2721,0.7712,0.2193,0.5049,-0.3369,0.6758,-0.0496,0.7312,0.0586,-2.4812,-0.5137,1.5175,6.71,0
171359,-0.4665,0.5671,-0.5527,-0.9731,0.8179,1.2838,1.8522,-0.9717,0.1904,-1.5192,-1.5297,-1.8189,-0.4756,0.5224,1.0999,-0.3019,-2.8792,0.8369,-1.0907,1.1097,1.4366,-0.8767,0.5998,-1.7701,0.1124,-1.5061,-1.4503,-0.9965,263.23,0
138457,-0.1155,-0.3864,-0.3284,-0.1401,-1.134,-0.35,-0.5114,-0.2513,-0.5714,1.0691,0.5052,0.4524,-0.3784,-0.2179,-1.8149,-0.1185,-1.149,0.3461,-0.3323,0.0925,-1.7632,0.4247,-0.1678,-0.99,0.6712,-1.5129,-0.2683,-0.1438,172.92,0
16714,-0.3408,-0.0902,2.3026,-1.8042,-0.81,0.1436,0.2298,0.4881,-1.0185,-1.2554,0.9437,-0.2185,0.8465,-0.6884,0.8446,-0.4845,2.2589,1.2465,0.3767,-0.3788,0.321,-0.3866,0.9983,-0.0449,1.933,1.9909,0.8536,-1.4471,489.27,0
121373,-0.5798,-1.1119,-1.8247,-0.3711,0.0144,0.9217,-0.3778,2.3237,-0.0765,-0.4833,0.3806,-0.9706,0.2089,-2.0641,0.6761,0.0667,0.2106,0.1548,-1.2738,-0.8986,1.5664,0.4946,-0.5973,0.4211,0.4077,1.9545,1.1104,0.4112,145.34,0
151023,-0.5663,1.2253,-0.4113,-0.7772,-0.1777,0.5269,-0.3779,-0.5973,-0.1107,0.337,1.9514,-0.6542,1.1915,-0.7397,-1.0497,0.5167,2.3473,-0.4129,-0.8327,-1.5454,-0.4344,0.9424,0.5752,0.7835,0.0314,-1.1323,0.4943,-0.6864,354.08,0
121379,1.1055,-0.6562,1.2505,-0.2566,0.4965,0.5567,0.4169,1.381,1.7113,-0.9099,1.3424,0.8814,0.2889,0.7361,-0.6271,-1.2058,0.4526,-0.4605,0.1179,-1.6009,-1.0654,-0.4129,0.6139,-0.658,0.1694,-0.0469,2.3614,-0.984,59.54,0
125546,1.3248,-0.7898,-0.2879,-0.9631,0.059,0.879,-0.2311,1.0965,-0.5104,-0.6907,-1.3164,1.5985,-1.7611,0.382,-0.2921,-1.6681,-0.2878,0.6093,-0.1178,0.2823,1.0803,-1.2397,1.263,0.1292,-1.3783,-0.8039,-0.1852,0.6344,115.78,0
149366,0.5883,-1.0185,-0.8573,-1.2548,-0.0854,1.8547,1.4011,-0.2993,-0.6059,0.0358,0.1698,-0.5849,-0.2147,-1.1375,1.0834,-0.6234,-0.2187,-0.2706,1.8931,0.4085,1.3982,-0.5015,0.0928,-1.027,0.3985,-0.6063,-0.036,-0.1306,253.36,0
97832,1.3235,0.5283,2.0209,-0.8911,-0.0961,-0.1499,-1.0085,-0.2069,1.5917,0.1679,-0.8014,-0.183,-1.547,-0.0215,-2.1481,1.0014,0.9617,2.0195,-0.7339,-0.1133,-0.5568,-0.5214,-1.0861,1.4104,2.2249,1.2053,-0.7219,0.1902,348.92,0
78636,-0.7814,-1.7763,-1.124,-1.6259,0.0267,-0.4423,-0.9207,0.8726,0.1293,0.0476,0.5581,1.0365,-1.6028,0.7067,-1.8089,-0.7944,1.0121,0.6912,0.6647,0.1821,1.413,-1.5408,-0.3052,0.0473,2.0353,1.0265,1.0384,-0.7613,17.42,0
82440,0.6781,0.0669,1.1438,1.4592,0.9908,-2.0749,-0.3926,1.2272,-1.7776,-0.7918,-0.552,-1.1184,-1.2229,1.094,0.3849,-1.4798,1.4574,0.7826,-0.2569,0.3736,0.0445,0.3952,-1.0892,-0.8467,-2.1736,-1.4893,-0.6547,1.2579,391.99,0
118109,-0.9362,0.0553,0.9915,-0.3843,-0.6285,-1.3291,1.192,0.712,0.4699,-1.5088,0.5036,0.2853,-0.3381,-1.3767,-0.0567,-0.8708,0.08,0.0633,-0.3382,0.882,-0.0661,0.5291,0.4184,1.0082,-0.9641,-0.3453,0.922,0.1535,47.44,0
156773,0.4287,-1.95,1.0304,0.0801,0.2928,-1.5796,-2.9211,-1.1467,0.0553,1.2122,-0.2409,-0.5598,-0.0938,0.785,0.368,0.4802,-0.1371,0.833,0.1929,-0.9268,1.5005,-0.5485,-1.3843,0.0365,-0.5208,0.1412,1.0028,0.0427,420.97,0
99585,0.298,-0.8431,-0.9332,1.584,1.7178,-2.0895,0.5769,0.6637,0.6332,-0.2178,-1.0143,2.3774,0.8141,-0.1621,-0.394,-1.0934,-0.6621,-0.342,-1.3107,1.2935,-0.3846,0.3064,-1.2331,-0.5231,-1.4514,-0.4279,-2.3514,-0.7656,231.35,0
54958,-0.7686,0.313,-0.6499,-1.7308,0.2903,-0.9839,-1.4165,0.0062,0.0735,1.4644,-0.3823,-1.7223,2.7343,1.3709,-1.0035,0.1317,-2.2478,-0.0934,-0.4486,-1.1695,0.2389,-0.9133,0.9828,-0.7574,-0.2723,-0.3216,0.1739,-1.4537,178.15,0
169607,-0.9778,-0.837,-0.884,-1.1401,0.8782,-0.1858,0.1355,-0.4534,0.5769,0.4114,-0.0253,-1.2776,-0.2698,-0.6533,-0.7842,0.7929,-0.6559,-1.3838,2.0358,2.8298,-0.832,0.0904,0.372,-0.2028,0.7915,-1.4119,-0.531,0.7472,392.35,0
136607,-1.1306,0.1218,-1.4297,0.5852,-0.3546,0.7671,0.1826,-0.4596,0.8433,-1.1734,-0.2649,-0.5375,0.744,-0.0755,0.27,0.5255,-2.3461,-0.9263,0.1159,1.0125,0.5726,1.3108,-0.2216,0.1007,-0.4998,-0.4357,-0.8304,-0.5433,352.66,0
53945,-0.2763,1.5352,0.3741,-1.258,0.3797,-1.1813,-0.4406,0.4948,1.1245,0.9783,-2.5939,0.1716,-0.3848,0.9144,-0.3845,0.3079,-0.6615,0.887,0.7,1.3226,0.7005,-2.1279,-1.26,-0.8015,-0.2855,0.6809,0.7173,0.6482,71.54,0
101833,-0.4744,0.2677,-0.4774,0.4278,-1.0133,-1.1567,-2.6244,-3.3948,-1.0915,-0.3923,0.5528,0.6707,-0.3164,0.1006,-0.0878,0.1075,1.2019,1.3901,1.1561,-0.2674,-1.5186,0.048,-1.6514,0.9678,-0.4144,0.0295,1.6603,0.326,146.75,0
72051,0.1299,0.8151,0.2479,-1.2674,0.1651,-1.1577,-1.3011,-0.0885,-0.1404,1.2437,1.2477,-0.0715,0.072,-1.6879,-0.6552,0.2529,-1.4549,0.7395,-0.4291,-0.6202,0.1808,-0.1812,-0.1601,1.9845,1.7106,1.0407,1.3529,1.2293,105.73,0
154120,-0.7414,-1.8432,-0.8135,-0.6753,-1.3065,-1.1687,0.7032,-1.6672,-1.1152,-0.5254,-0.4982,-0.3472,0.8249,-0.1095,-2.2145,-1.0889,-2.1379,-0.1942,0.215,-0.4952,0.0006,-1.0299,0.7507,0.2933,-0.8667,-1.2909,0.378,0.4164,161.73,0
64894,0.1082,-1.4979,-1.3097,0.0869,-0.1213,1.0271,-1.3531,0.421,0.3225,-0.3024,-0.8036,-0.0791,0.884,-0.3738,0.8473,-0.2738,1.7248,0.0268,-0.1755,-1.6108,-1.4272,0.3813,-0.2274,0.2813,-0.6846,-0.1504,-0.6237,0.2952,135.0,0
